advertised_rent,posted_to_website,posted_to_internet,property,property_name,amenities,lockbox_enabled,affordable_program,address,street,street2,city,state,zip,unit,unit_tags,unit_type,bed_and_bath,sqft,unit_status,rent_ready,days_vacant,last_rent,schd_rent,new_rent,last_move_in,last_move_out,available_on,next_move_in,description,amenities_price,computed_market_rent,ready_for_showing_on,unit_turn_target_date,property_id,unit_id,contact
1895,Yes,Yes,"2912 Wooten Trl Royse City, TX 75189","2912 Wooten Trl Royse City, TX 75189",,No,,"2912 Wooten Trl Royse City, TX 75189",2912 Wooten Trl,,Royse City,TX,75189,2912 Wooten Trl,,,4/3,2092,Vacant-Unrented,Yes,60,2195,1895,,2024-04-20,2026-05-31,2026-06-10,,"

",0,1895,2026-04-15,2026-06-10,1659,"Veera, Kunal",Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075 (#11)
1795,Yes,No,"3000 Buttonbush - 3000 Buttonbush Drive Royse City, TX 75189",3000 Buttonbush,,Yes,,"3000 Buttonbush Drive Royse City, TX 75189",3000 Buttonbush Drive,,Royse City,TX,75189,3000 Buttonbush,,,4/2,1892,Vacant-Rented,Yes,52,1995,1795,,2024-04-13,2026-05-31,2026-06-10,2026-06-22,,0,1795,2026-04-23,2026-06-10,1592,"Vangala, Srinivas",Mounika Toodi: mounika@vprealtyservices.com: 903-776-4492 (#5)
1299,No,No,"305 Casie Ct Denton, TX 76207","305 Casie Ct Denton, TX 76207",,Yes,,"305 Casie Ct Denton, TX 76207",305 Casie Ct,,Denton,TX,76207,305 Casie Ct,,,3/2.00,1007,Vacant-Rented,Yes,67,1595,1299,,2025-12-01,2026-04-07,2026-04-20,2026-06-15,,0,1299,2026-04-20,2026-04-17,1994,1760,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2395,No,No,"310 Overland - 310 Overland Garland, TX 75040-3434",310 Overland,,No,,"310 Overland Garland, TX 75040-3434",310 Overland,,Garland,TX,75040-3434,310 Overland,,,4/2.00,1960,Vacant-Unrented,No,132,2751,2395,,2023-07-22,2026-02-01,2026-02-11,,,0,2395,2026-02-11,2026-02-11,152,95,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2295,Yes,No,"3109 Leatherwood Lane Royse City, TX 75189","3109 Leatherwood Lane Royse City, TX 75189",,Yes,,"3109 Leatherwood Lane Royse City, TX 75189",3109 Leatherwood Lane,,Royse City,TX,75189,3109 Leatherwood Lane,,,4/2,1800,Vacant-Unrented,Yes,25,2295,2295,,2024-07-10,2026-05-31,2026-06-10,,,0,2295,2026-05-20,2026-06-10,1712,"Jayaraman, Thiruma",Mounika Toodi: mounika@vprealtyservices.com: 903-776-4492 (#5)
2295,No,No,"3110 Longbow Drive Garland, TX 75044","3110 Longbow Drive Garland, TX 75044",,Yes,,"3110 Longbow Drive Garland, TX 75044",3110 Longbow Drive,,Garland,TX,75044,3110 Longbow Drive,,,3/2.00,2105,Vacant-Unrented,No,3,2410,2295,,2024-06-15,2026-06-10,2026-06-20,,,0,2295,2026-06-20,2026-06-20,1698,1466,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
3395,Yes,Yes,"312 Santa Lucia (Lease only) - 312 Santa Lucia Anna, TX 75409",312 Santa Lucia (Lease only),,Yes,,"312 Santa Lucia Anna, TX 75409",312 Santa Lucia,,Anna,TX,75409,312 Santa Lucia (Lease only),,,5/4.50,3719,Vacant-Unrented,No,73,2595,3395,,2024-11-15,2024-11-19,2026-05-15,,"Mounika, mounika@vprealtyservices.com or (903) 776-4492â¬
https://www.vprealtyservices.com/listings/detail/3848ec4a-898b-42c7-9263-d1c73fb01454",0,3395,2026-04-02,2024-11-29,1609,"Sanap, Prashant",Mounika Toodi: mounika@vprealtyservices.com: 903-776-4492 (#5)
1795,No,No,"313 Magnolia Drive Fate, TX 75087","313 Magnolia Drive Fate, TX 75087",,Yes,,"313 Magnolia Drive Fate, TX 75087",313 Magnolia Drive,,Fate,TX,75087,313 Magnolia Drive,,,3/2.00,1914,Vacant-Unrented,No,13,1895,1795,,2024-05-18,2026-05-31,2026-06-07,,"Anjali Sangtani, anjali@vprealtyservices.com, 972-591-8075
https://www.vprealtyservices.com/listings/detail/1ff7c4cc-718b-41bd-95a7-b1b5eb6bf310
",0,1795,2026-04-17,2026-06-10,441,757,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
1695,No,No,"3135 Maple Avenue Greenville, TX 75402 - 3135 Maple Avenue Greenville, TX 75402 Greenville, 75402","3135 Maple Avenue Greenville, TX 75402",Water / Sewer and Trash pick up included,No,,"3135 Maple Avenue Greenville, TX 75402 Greenville, 75402","3135 Maple Avenue Greenville, TX 75402",,Greenville,,75402,"3135 Maple Avenue Greenville, TX 75402",,,3/2.00,1542,Vacant-Unrented,Yes,0,,1695,,,,2026-04-03,,,0,1695,2026-04-03,,2047,1812,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
1795,No,No,"3202 Holly Stokes Way - 3202 Holly Stokes Way Conroe, TX 77301",3202 Holly Stokes Way,,No,,"3202 Holly Stokes Way Conroe, TX 77301",3202 Holly Stokes Way,,Conroe,TX,77301,3202 Holly Stokes Way,,,4/2.50,2229,Vacant-Unrented,Yes,13,1799,1795,,2024-01-01,2026-05-31,2026-06-05,,"Uzma, uzma@vprealtyservices.com, (972) 591-8905â¬
https://www.vprealtyservices.com/listings/detail/b3b967e5-b54b-4708-bc6e-7b2e0a061732",0,1795,2026-05-11,2026-06-10,1611,1379,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
1695,No,No,"3225 Turtle Creek Boulevard Unit#1533 Dallas, TX 75219","3225 Turtle Creek Boulevard Unit#1533 Dallas, TX 75219",,No,,"3225 Turtle Creek Boulevard Unit#1533 Dallas, TX 75219",3225 Turtle Creek Boulevard Unit#1533,,Dallas,TX,75219,3225 Turtle Creek Boulevard Unit#1533,,,1/1.00,831,Vacant-Unrented,Yes,13,1795,1695,,2025-05-26,2026-05-31,2026-06-05,,"Uzma, uzma@vprealtyservices.com, (972) 591-8905â¬
https://www.vprealtyservices.com/listings/detail/a997063f-a4bf-4119-9ffb-fde37017160a",0,1695,2026-05-04,2026-06-10,1838,1604,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
3500,No,No,"3264 Heatherbrook Lane Richardson, TX 75082","3264 Heatherbrook Lane Richardson, TX 75082",,No,,"3264 Heatherbrook Lane Richardson, TX 75082",3264 Heatherbrook Lane,,Richardson,TX,75082,3264 Heatherbrook Lane,,,4/4.00,3635,Vacant-Unrented,No,1444,3500,3500,,2021-07-01,2022-06-30,2022-07-10,,"Rent :$ 3500 per month

Currently occupied with the tenant Peter J. Ductram  (305) 726-1877, Please call or text our current residents to schedule a showing. They will allow scheduling a showing. If they don't allow then it will be available for showing only after the tenant moves.

Beautifully updated smart home include Vaulted Ceilings with gorgeous detailing. Breathtaking windows that allow TONS of natural light in. Smart home features include Lennox Thermostat with app controls for new, Ring Doorbell with camera, Amazon Alexa controlled lighting throughout, smart security cameras and more! Luxurious carpet and pristine hardwoods are throughout. Bathrooms with Carrara Marble countertops! Wood cabinets, and SS Appliances. 

- Home is available From 07/01/2022
- Pets are welcome ($500 refundable per pet)
- HOA is paid by owners.
- Needs to bring Washer-Dryer-Refrigerator.
- No housing vouchers, no section 8
- Longer lease is preferred
- $55 per adult application fee.
- Apply at vprealtyservices.com
- Application has to be online only at VP Realty, No Tar applications
- Mention your broker name and number in online application if applicable

If you don't see home on VP Realty website then it means it is leased.
Text 214 597 0294 or leave VM for a live agent

This is the link for the application process and qualification criteria
https://tinyurl.com/y3a97pmc",0,3500,2022-07-10,2022-07-10,427,744,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2595,Yes,Yes,"3301 Darion  (Service fee) - 3301 Darion Ln Plano, TX 75093",3301 Darion  (Service fee),,No,,"3301 Darion Ln Plano, TX 75093",3301 Darion Ln,,Plano,TX,75093,3301 Darion  (Service fee),,,4/2.50,2205,Notice-Unrented,Yes,28,2500,2595,,2024-08-04,2026-06-30,2026-07-05,,"Uzma, uzma@vprealtyservices.com, (972) 591-8905â¬
https://www.vprealtyservices.com/listings/detail/dab532ed-0ff0-4ca5-9194-a87317b692b5",0,2595,2026-05-17,2026-07-10,15,"Sri Sai Investments LLC (Rajesh Cheruku, Mahesh Cheruku) (VS approval)",Uzma Urooj: uzma@vprealtyservices.com: 972-591-8905 (#8)
2295,No,No,"3317 Riverlawn Drive Anna, TX 75409 (City Reg Must) - 3317 Riverlawn Drive Anna, TX 75409","3317 Riverlawn Drive Anna, TX 75409 (City Reg Must)",,Yes,,"3317 Riverlawn Drive Anna, TX 75409",3317 Riverlawn Drive,,Anna,TX,75409,"3317 Riverlawn Drive Anna, TX 75409 (City Reg Must)",,,4/2.00,2052,Vacant-Unrented,No,378,2195,2295,,2024-04-22,2025-05-31,2025-06-10,,,0,2295,2025-06-10,2025-06-10,1663,1431,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2445,No,No,"333 Crosscreek Dr.  (No maintenance ) Wylie, TX 75098","333 Crosscreek Dr.  (No maintenance ) Wylie, TX 75098",,Yes,,"333 Crosscreek Dr.  (No maintenance ) Wylie, TX 75098",333 Crosscreek Dr.  (No maintenance ),,Wylie,TX,75098,333 Crosscreek Dr.  (No maintenance ),,,4/2.50,2789,Vacant-Unrented,No,493,2495,2445,,2024-03-15,2025-02-05,2025-02-15,,,0,2445,2025-04-08,2025-02-15,1608,1376,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
4540,No,No,"3455 Hollow Pine Dr(Owner Approval Must) Frisco, TX 75033","3455 Hollow Pine Dr(Owner Approval Must) Frisco, TX 75033",,No,,"3455 Hollow Pine Dr(Owner Approval Must) Frisco, TX 75033",3455 Hollow Pine Dr(Owner Approval Must),,Frisco,TX,75033,3455 Hollow Pine Dr(Owner Approval Must),,,4/3.50,,Vacant-Unrented,Yes,13,4540,4540,,2025-08-01,2026-05-31,2026-06-10,,,0,4540,2026-06-10,2026-06-10,1910,1676,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
3995,No,No,"3525 Berkwood Pl, Frisco, TX 75034 (HOA reg must) - 3525 Berkwood Pl Frisco, TX 75034","3525 Berkwood Pl, Frisco, TX 75034 (HOA reg must)",,Yes,,"3525 Berkwood Pl Frisco, TX 75034",3525 Berkwood Pl,,Frisco,TX,75034,"3525 Berkwood Pl, Frisco, TX 75034 (HOA reg must)",,,5/4.00,4322,Vacant-Unrented,No,494,3795,3995,,2024-04-15,2025-02-04,2025-02-14,,"Please visit the house, The home is Vacant. The code is 6788. To schedule a showing please send msg or drop a voicemail on 214-597-0294. or you can reach out to Mital at: 903-213-2110 or email at mital@vprealtyservices.com. Please keep the key back at the place from where it has been taken to see the house. If you have an agent, use Broker Bay (800 257-1242) for the showing.

Stunning north-facing floor plan with abundant daylight, high ceilings, and a gorgeous curved staircase. 5 bedrooms, 4 baths, a study, and a media room. 2 bedrooms down with a separate formal living room. The kitchen has a double oven and a gas cooktop. 3 minutes away from Dallas Tollway, Frisco Square, and Toyota Stadium. Refrigerator included.

- The home is available immediately 
- Homeowners' Association (HOA) fees are covered by the owners
- Tenants Need to bring Washer and Dryer.
- No housing vouchers or Section 8
- Application fee of $65 per adult
- Apply online at vprealtyservices.com (No TAR applications)
- Please mention your broker's name and number in the online application if applicable

(PET POLICY):
- Pets are welcome. The pet deposit is $600 for each pet, and it is non-refundable.

(REQUIREMENT):
- The Credit requirement is on a case-by-case basis. If the credit scores are lower then more deposits may be needed
- Rental history, income, background, and credit history will be verified
- Monthly income must be at least 3 times the monthly rent.

(DEPOSIT):
- The deposit is a minimum of one month's rent, subject to case-by-case evaluation and credit assessment.
- Qualification in the slides below

Please note: If the home is not listed on the VP Realty website, it means it has been leased.
For further inquiries or to schedule a viewing, please text 214-597-0294 or leave a voicemail for a live agent.

To begin the application process and review the qualification criteria, please visit the following link:
https://tinyurl.com/ycksezpk

Don't miss out on this incredible opportunity to secure this beautiful new home. Apply now and make it yours!",0,3995,2025-02-14,2025-02-14,1629,1397,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2495,Yes,Yes,"3527 Chestnut Oak Drive (Builder warranty active) Dallas, TX 75253","3527 Chestnut Oak Drive (Builder warranty active) Dallas, TX 75253",,No,,"3527 Chestnut Oak Drive (Builder warranty active) Dallas, TX 75253",3527 Chestnut Oak Drive (Builder warranty active),,Dallas,TX,75253,3527 Chestnut Oak Drive (Builder warranty active),,,5/3,2180,Vacant-Unrented,Yes,4,2409.75,2495,,2024-08-15,2026-05-31,2026-06-10,,"3527 Chestnut Oak Drive Dallas, TX 75253",0,2495,2026-06-10,2026-06-10,1741,"AYONIJA (Karuna, Abraham)",Uzma Urooj: uzma@vprealtyservices.com: 972-591-8905 (#8)
3395,No,No,"3603 Barberry Drive ( work with owner on maintenance repair, they have there own vendors) Wylie, TX 75098","3603 Barberry Drive ( work with owner on maintenance repair, they have there own vendors) Wylie, TX 75098",,No,,"3603 Barberry Drive ( work with owner on maintenance repair, they have there own vendors) Wylie, TX 75098","3603 Barberry Drive ( work with owner on maintenance repair, they have there own vendors)",,Wylie,TX,75098,"3603 Barberry Drive ( work with owner on maintenance repair, they have there own vendors)",,,4/3.50,4101,Vacant-Unrented,No,133,3395,3395,,2025-02-15,2026-01-31,2026-02-10,,,0,3395,2026-02-10,2026-02-10,1820,1586,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2295,No,No,"361 Silver Springs Lane - 361 Silver Springs Lane Lavon, TX 75166",361 Silver Springs Lane,,No,,"361 Silver Springs Lane Lavon, TX 75166",361 Silver Springs Lane,,Lavon,TX,75166,361 Silver Springs Lane,,,4/3.00,2466,Vacant-Unrented,Yes,0,,2295,,,,2025-09-29,,,0,2295,,,1972,1738,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
1795,No,No,"365 Basswood Ln - 365 Basswood Ln Melissa, TX 75454",365 Basswood Ln,,Yes,,"365 Basswood Ln Melissa, TX 75454",365 Basswood Ln,,Melissa,TX,75454,365 Basswood Ln,,,3/2.00,1792,Vacant-Rented,Yes,13,2095,1795,1795,2024-08-10,2026-05-31,,2026-07-01,,0,1795,2026-04-25,2026-06-10,72,104,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2950,No,No,"3713 Limousine Parkway McKinney, TX 75071  (City and HOA Reg must) - 3713 Limousine Parkway McKinney, TX 75071","3713 Limousine Parkway McKinney, TX 75071  (City and HOA Reg must)",,No,,"3713 Limousine Parkway McKinney, TX 75071",3713 Limousine Parkway,,McKinney,TX,75071,"3713 Limousine Parkway McKinney, TX 75071  (City and HOA Reg must)",,,4/3.00,2987,Vacant-Unrented,No,44,2700,2950,,2024-11-01,2026-04-30,2026-05-10,,,0,2950,2026-05-10,2026-05-10,1771,1538,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
3095,No,No,"3829 Bonita Drive (Service fee) Plano, TX 75025","3829 Bonita Drive (Service fee) Plano, TX 75025",,No,,"3829 Bonita Drive (Service fee) Plano, TX 75025",3829 Bonita Drive (Service fee),,Plano,TX,75025,3829 Bonita Drive (Service fee),,,4/3.50,3790,Vacant-Unrented,No,100,3600,3095,,2024-10-15,2026-03-05,2026-03-15,,,0,3095,2026-03-15,2026-03-15,1751,1518,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
,No,No,"4007 Freedom St Heartland, TX 75126","4007 Freedom St Heartland, TX 75126",,No,,"4007 Freedom St Heartland, TX 75126",4007 Freedom St,,Heartland,TX,75126,4007 Freedom St,,,,,Vacant-Unrented,No,436,2400,,,2022-06-01,2025-04-03,2025-04-13,,,0,,2025-04-13,2025-04-13,1380,1148,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2550,Yes,Yes,"413 Ashland - 413 Ashland Wylie, TX 75098",413 Ashland,,No,,"413 Ashland Wylie, TX 75098",413 Ashland,,Wylie,TX,75098,413 Ashland,,,4/3,2614,Vacant-Unrented,Yes,50,2725,2550,,2024-06-05,2026-05-31,2026-06-05,,"Uzma, uzma@vprealtyservices.com, (972) 591-8905â¬
https://www.vprealtyservices.com/listings/detail/03a7d279-525a-447f-89df-3f264c0f5e15",0,2550,2026-04-25,2026-06-10,100,"Raval, Atman",Uzma Urooj: uzma@vprealtyservices.com: 972-591-8905 (#8)
4095,Yes,Yes,"419 Rio Grande Dr Irving, TX 75039","419 Rio Grande Dr Irving, TX 75039",,No,,"419 Rio Grande Dr Irving, TX 75039",419 Rio Grande Dr,,Irving,TX,75039,419 Rio Grande Dr,,,4/4.50,3730,Notice-Unrented,Yes,14,4381.65,4095,,2024-07-15,2026-06-29,2026-07-04,,,0,4095,2026-05-31,2026-07-09,1681,"Ram Iyer, Neelima Rai and",Nishant Nanani: nishant@vprealtyservices.com: 903-213-3818 (#6)
2445,Yes,Yes,"420 4th Street Argyle - 420 4th Street Argyle, TX 76226",420 4th Street Argyle,,Yes,,"420 4th Street Argyle, TX 76226",420 4th Street,,Argyle,TX,76226,420 4th Street Argyle,,,3/2.50,2035,Vacant-Unrented,Yes,59,2595.5,2445,,2024-06-15,2026-05-31,2026-06-05,,"Uzma, uzma@vprealtyservices.com, (972) 591-8905â¬
https://www.vprealtyservices.com/listings/detail/46adcad6-d1bb-470e-833b-cab0ea4ef951",0,2445,2026-04-16,2026-06-10,1686,"Reddy Apala, Dinesh",Uzma Urooj: uzma@vprealtyservices.com: 972-591-8905 (#8)
,No,No,"420 Trump Tariff Lane Indiana, TX 39002","420 Trump Tariff Lane Indiana, TX 39002",,No,,"420 Trump Tariff Lane Indiana, TX 39002",420 Trump Tariff Lane,,Indiana,TX,39002,420 Trump Tariff Lane,,,,,Vacant-Unrented,Yes,0,,,,,,,,,0,,,,2016,1781,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2795,No,No,"4212 VILLAGE GREEN DR - 4212 Village green drive Irving, TX 75038",4212 VILLAGE GREEN DR,,Yes,,"4212 Village green drive Irving, TX 75038",4212 Village green drive,,Irving,TX,75038,4212 VILLAGE GREEN DR,,,5/3.00,3098,Vacant-Unrented,Yes,74,2995,2795,,2024-02-23,2026-03-31,2026-04-10,,,0,2795,2026-04-10,2026-04-10,18,118,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2495,Yes,Yes,"4304 Placer Mine Road, Aubrey, Texas 76227 - 4304 Placer Mine Road, Aubrey, TX 76227 Aubrey, TX 76227","4304 Placer Mine Road, Aubrey, Texas 76227",,No,,"4304 Placer Mine Road, Aubrey, TX 76227 Aubrey, TX 76227","4304 Placer Mine Road, Aubrey, TX 76227",,Aubrey,TX,76227,"4304 Placer Mine Road, Aubrey, Texas 76227",,,4/3,2332,Vacant-Unrented,Yes,15,,2495,,,,2026-07-01,,,0,2495,2026-05-30,,2068,"Agarwal, Arun",Husna  Siddiqui: husna@vprealtyservices.com: 903-751-5965 (#5)
3095,No,No,"4412 Stromboli Drive Plano, TX 75093","4412 Stromboli Drive Plano, TX 75093",,No,,"4412 Stromboli Drive Plano, TX 75093",4412 Stromboli Drive,,Plano,TX,75093,4412 Stromboli Drive,,,4/2.50,2651,Notice-Unrented,No,,3095,3095,,2024-06-10,2026-06-30,2026-07-10,,"
",0,3095,2026-07-10,2026-07-10,359,386,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
3395,No,No,"4514 Burnhill Drive (Lease only) - 4514 Burnhill Drive Plano, TX 75024",4514 Burnhill Drive (Lease only),,No,,"4514 Burnhill Drive Plano, TX 75024",4514 Burnhill Drive,,Plano,TX,75024,4514 Burnhill Drive (Lease only),,,4/3.50,2985,Vacant-Rented,No,0,,3395,,,,,2026-07-01,,0,3395,,,1706,1473,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
3050,Yes,Yes,"4520 White Rock Lane Plano, TX 75024","4520 White Rock Lane Plano, TX 75024",,Yes,,"4520 White Rock Lane Plano, TX 75024",4520 White Rock Lane,,Plano,TX,75024,4520 White Rock Lane,,,4/3,3065,Vacant-Unrented,Yes,26,2990.65,3050,,2024-07-25,2026-05-30,2026-06-06,,"
",0,3050,2026-05-19,2026-06-09,104,"Shaikh, Saleem M.",Husna  Siddiqui: husna@vprealtyservices.com: 903-751-5965 (#5)
2695,No,No,"4525 Teasley Lane, (Service fee) - 4525 Teasley Lane Denton, TX 76210","4525 Teasley Lane, (Service fee)",,No,,"4525 Teasley Lane Denton, TX 76210",4525 Teasley Lane,,Denton,TX,76210,"4525 Teasley Lane, (Service fee)",,,4/2.00,2915,Notice-Unrented,No,,2800,2695,,2023-04-17,2026-07-30,2026-08-05,,,0,2695,2026-06-15,2026-08-09,1378,1146,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2295,No,No,"4613 Fox Sedge Lane, Denton, TX 76208","4613 Fox Sedge Lane, Denton, TX 76208",,No,,"4613 Fox Sedge Lane, Denton, TX 76208","4613 Fox Sedge Lane,",,Denton,TX,76208,"4613 Fox Sedge Lane,",,,4/2.00,2072,Vacant-Unrented,No,256,2295,2295,,2024-08-01,2025-09-30,2025-10-10,,,0,2295,2025-10-10,2025-10-10,1675,1443,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
,No,No,"4732 Bridgewater Street - 4732 Bridgewater Street Plano, TX 75074",4732 Bridgewater Street,,No,,"4732 Bridgewater Street Plano, TX 75074",4732 Bridgewater Street,,Plano,TX,75074,4732 Bridgewater Street,,,,,Vacant-Unrented,Yes,0,,,,,,,,,0,,,,284,311,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
1750,No,No,"503 silo Circle Royse City, TX 75189","503 silo Circle Royse City, TX 75189",,No,,"503 silo Circle Royse City, TX 75189",503 silo Circle,,Royse City,TX,75189,503 silo Circle,,,4/2.00,1732,Vacant-Unrented,No,256,1995,1750,,2024-03-15,2025-09-30,2025-10-10,,,0,1750,2025-10-10,2025-10-10,1800,1566,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2150,Yes,Yes,"508 Chip Street Little Elm, TX 75068 (City and HOA Reg Must) - 508 Chip Street Little Elm, TX 75068","508 Chip Street Little Elm, TX 75068 (City and HOA Reg Must)",,Yes,,"508 Chip Street Little Elm, TX 75068",508 Chip Street,,Little Elm,TX,75068,"508 Chip Street Little Elm, TX 75068 (City and HOA Reg Must)",,,4/3,1864,Vacant-Unrented,Yes,3,2150,2150,,2025-07-15,2026-06-06,2026-06-11,,,0,2150,2026-06-11,2026-06-16,1889,"Mulukutla (S) ( high priority payment release) , Venkat",Sana Saiyed: sana@vprealtyservices.com: 903-225-9627 (#5)
2395,Yes,Yes,"508 Fossil Creek Drive Little Elm, TX 75068 (City and HOA Reg Must) - 508 Fossil Creek Drive Little Elm, TX 75068","508 Fossil Creek Drive Little Elm, TX 75068 (City and HOA Reg Must)",,No,,"508 Fossil Creek Drive Little Elm, TX 75068",508 Fossil Creek Drive,,Little Elm,TX,75068,"508 Fossil Creek Drive Little Elm, TX 75068 (City and HOA Reg Must)",,,4/2,2015,Vacant-Unrented,Yes,25,2195,2395,,2024-06-01,2026-05-31,2026-06-10,,,0,2395,2026-05-20,2026-06-10,224,"Ganatra, Manish",Nishant Nanani: nishant@vprealtyservices.com: 903-213-3818 (#6)
3495,Yes,Yes,"509 Wexford Drive, Celina, Texas 75009 - 509 Wexford Drive, Celina, TX 75009 Celina, TX 75009","509 Wexford Drive, Celina, Texas 75009",,No,,"509 Wexford Drive, Celina, TX 75009 Celina, TX 75009","509 Wexford Drive, Celina, TX 75009",,Celina,TX,75009,"509 Wexford Drive, Celina, Texas 75009",,,4/4.50,3285,Vacant-Unrented,Yes,10,,3495,,,,2026-06-04,,,0,3495,2026-06-04,,2070,"Immadisetty, Sunil",Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075 (#11)
2395,Yes,Yes,"5100 Royal Springs Drive Forney, TX 75126 - 5100 Royal Springs Drive Forney, TX 75126","5100 Royal Springs Drive Forney, TX 75126",,No,,"5100 Royal Springs Drive Forney, TX 75126",5100 Royal Springs Drive,,Forney,TX,75126,"5100 Royal Springs Drive Forney, TX 75126",,,4/2,2166,Notice-Unrented,Yes,2,2350,2395,,2021-12-01,2026-06-30,2026-07-10,,,0,2395,2026-06-12,2026-07-10,470,VP Group,Sana Saiyed: sana@vprealtyservices.com: 903-225-9627 (#5)
1695,No,No,"516 Tenison Lane McKinney, TX 75069  (City and HOA Reg must) - 516 Tenison Lane McKinney, TX 75069","516 Tenison Lane McKinney, TX 75069  (City and HOA Reg must)",,No,,"516 Tenison Lane McKinney, TX 75069",516 Tenison Lane,,McKinney,TX,75069,"516 Tenison Lane McKinney, TX 75069  (City and HOA Reg must)",,,3/2.00,1364,Vacant-Rented,Yes,13,1695,1695,,2024-12-01,2026-05-31,2026-06-10,2026-06-29,,0,1695,2026-04-15,2026-06-10,1804,1570,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2545,No,No,"5404 Cookstown Ln, Fort Worth, TX 76036 - 5404 Cookstown Ln, Fort Worth, TX 76036","5404 Cookstown Ln, Fort Worth, TX 76036",,No,,"5404 Cookstown Ln, Fort Worth, TX 76036","5404 Cookstown Ln,",,Fort Worth,TX,76036,"5404 Cookstown Ln, Fort Worth, TX 76036",,,5/3.00,2722,Vacant-Unrented,No,348,2545,2545,,2023-09-26,2025-06-30,2025-07-10,,"Please visit the house, The home is Vacant. The code is 1975. For the showing, If you have an agent use Broker BayÂ (800Â 257-1242).

This spacious open-concept home includes a large living and kitchen area and a secondary living area or game room upstairs, with plenty of room to spread out or perfect for entertaining. The large primary suite includes an oversized walk-in closet. This home is full of storage including walk-in closets throughout, walk in pantry, and multiple linen closets. Finishes include stainless steel appliances, granite countertops, and vinyl wood flooring. The washer, dryer and refrigerator are included, and the property is pet friendly. Fenced backyard with an open view and a two-car garage. This property is so well maintained that it feels new, donât miss out on this great home!

- Home is available immediately.
- Pets are welcome ($600 Non- refundable per pet)
- HOA is paid by owners.
- No housing vouchers, no section 8
- Longer lease is preferred
- $55 per adult application fee
- Apply at vprealtyservices.com
- Application has to be online only at VP Realty, No Tar applications
- Mention your broker name and number in online application if applicable

If you don't see home on VP Realty website then it means it is leased.

Questions for this home:
Call Riddhi Trivedi: +1 (972)-591-8009 or Email:  riddhi@vprealtyservices.com
Leasing Number: +1 (214) 597-0294

This is the link for the application process and qualification criteria
https://tinyurl.com/ycksezpk
",0,2545,2025-07-10,2025-07-10,1391,1159,Anjali Sangtani: anjali@vprealtyservices.com: 972-591-8075
2395,Yes,Yes,"5405 Fairdale Drive Denton, TX 76208","5405 Fairdale Drive Denton, TX 76208",,Yes,,"5405 Fairdale Drive Denton, TX 76208",5405 Fairdale Drive,,Denton,TX,76208,5405 Fairdale Drive,,,4/2,1856,Vacant-Rented,Yes,59,,2395,,,,2026-04-16,2026-06-15,,0,2395,2026-04-16,,2055,"Living Trust, The D&M Patel",Jeel Hemrajani: jeel@vprealtyservices.com: 903-776-4548 (#7)
